Date,SP500,NASDAQ,DJIA
6/23/92,404.0400085,553.3599854,3285.600098
6/24/92,403.8399963,551.3900146,3290.699951
6/25/92,403.1199951,548.2000122,3284
6/26/92,403.4500122,547.8400269,3282.399902
6/29/92,408.9400024,558.7999878,3319.860107
6/30/92,408.1400146,563.5999756,3318.5
7/1/92,412.8800049,568.9899902,3354.100098
7/2/92,411.769989,563.3499756,3330.300049
7/6/92,413.8399963,563.1699829,3339.199951
7/7/92,409.1600037,557.4099731,3295.199951
7/8/92,410.2799988,557.5700073,3293.300049
7/9/92,414.230011,564.75,3324.100098
7/10/92,414.6199951,567.7999878,3330.600098
7/13/92,414.8699951,570.2199707,3337.300049
7/14/92,417.6799927,575.210022,3358.399902
7/15/92,417.1000061,575.4699707,3345.399902
7/16/92,417.5400085,576.1900024,3361.600098
7/17/92,415.6199951,570.5200195,3331.600098
7/20/92,413.75,564.2800293,3303
7/21/92,413.7600098,568.6300049,3308.399902
7/22/92,410.9299927,563.8800049,3277.600098
7/23/92,412.0799866,565.2399902,3290
7/24/92,411.6000061,565.6099854,3285.699951
7/27/92,411.5400085,564.7299805,3282.199951
7/28/92,417.519989,571.6300049,3334.100098
7/29/92,422.230011,577.4899902,3379.199951
7/30/92,423.9200134,578.7999878,3391.899902
7/31/92,424.2099915,580.8300171,3393.800049
8/3/92,425.0899963,582.3599854,3395.399902
8/4/92,424.3599854,581.3200073,3384.300049
8/5/92,422.1900024,576.8699951,3365.100098
8/6/92,420.5899963,574.0200195,3340.600098
8/7/92,418.8800049,573.7399902,3332.199951
8/10/92,419.4200134,573.1400146,3337.560059
8/11/92,418.8999939,571.5999756,3331.100098
8/12/92,417.7799988,570.8499756,3320.800049
8/13/92,417.730011,570.9899902,3313.300049
8/14/92,419.9100037,573.1799927,3328.899902
8/17/92,420.7399902,572.4699707,3324.899902
8/18/92,421.3399963,570.8699951,3329.5
8/19/92,418.1900024,567.6099854,3307.100098
8/20/92,418.2600098,567.8599854,3304.899902
8/21/92,414.8500061,563.7000122,3254.100098
8/24/92,410.7200012,555.3900146,3228.199951
8/25/92,411.6099854,554.2199707,3232.199951
8/26/92,413.5100098,558.7999878,3246.800049
8/27/92,413.5299988,563.2700195,3254.600098
8/28/92,414.8399963,563.5599976,3267.600098
8/31/92,414.0299988,563.1199951,3257.399902
9/1/92,416.0700073,565.6099854,3266.26001
9/2/92,417.980011,571.25,3290.300049
9/3/92,417.980011,574.8800049,3292.199951
9/4/92,417.0799866,573.4400024,3281.899902
9/8/92,414.4400024,571.1699829,3260.600098
9/9/92,416.3599854,574.8900146,3271.399902
9/10/92,419.9500122,581.2399902,3305.199951
9/11/92,419.5799866,583.0100098,3305.699951
9/14/92,425.269989,594.210022,3376.199951
9/15/92,419.769989,587.8599854,3327.300049
9/16/92,419.9200134,585.8900146,3319.199951
9/17/92,419.9299927,587.8200073,3315.699951
9/18/92,422.9299927,589.1199951,3327.100098
9/21/92,422.1400146,588.5800171,3320.800049
9/22/92,417.1400146,583,3280.899902
9/23/92,417.4400024,582.960022,3278.699951
9/24/92,418.4700012,585.9299927,3287.899902
9/25/92,414.3500061,577.2000122,3250.300049
9/28/92,416.6199951,575.3400269,3276.26001
9/29/92,416.7999878,577.6300049,3266.800049
9/30/92,417.7999878,583.2700195,3271.699951
10/1/92,416.2900085,578.3300171,3254.399902
10/2/92,410.4700012,571.6300049,3200.600098
10/5/92,407.5700073,565.210022,3179
10/6/92,407.1799927,570.5499878,3178.199951
10/7/92,404.25,569.2000122,3152.300049
10/8/92,407.75,573.8800049,3176
10/9/92,402.6600037,570.5200195,3136.600098
10/12/92,407.4400024,573.8400269,3174.399902
10/13/92,409.2999878,576.4400024,3201.399902
10/14/92,409.3699951,576.2199707,3195.5
10/15/92,409.6000061,578.6400146,3174.699951
10/16/92,411.730011,582.6099854,3174.399902
10/19/92,414.980011,590.6699829,3188.5
10/20/92,415.480011,592.7000122,3186
10/21/92,415.6700134,597.1500244,3187.100098
10/22/92,414.8999939,597.1199951,3200.899902
10/23/92,414.1000061,597.2999878,3207.600098
10/26/92,418.1600037,598.9199829,3244.100098
10/27/92,418.4899902,596.9500122,3235.699951
10/28/92,420.1300049,601.3900146,3251.399902
10/29/92,420.8599854,605.8200073,3246.300049
10/30/92,418.6799927,605.1699829,3226.300049
11/2/92,422.75,607.5700073,3262.199951
11/3/92,419.9200134,604.5800171,3252.5
11/4/92,417.1099854,605.5200195,3223
11/5/92,418.3399963,614.0800171,3243.800049
11/6/92,417.5799866,616.8200073,3240.100098
11/9/92,418.5899963,622.0499878,3240.899902
11/10/92,418.6199951,627.7600098,3225.5
11/11/92,422.2000122,634.9199829,3240.300049
11/12/92,422.8699951,634.3699951,3239.800049
11/13/92,422.4299927,637.1599731,3233
11/16/92,420.6799927,634.0100098,3205.699951
11/17/92,419.269989,627.0700073,3193.300049
11/18/92,422.8500061,634.8599854,3207.399902
11/19/92,423.6099854,638.5700073,3209.5
11/20/92,426.6499939,642.5999756,3227.399902
11/23/92,425.1199951,638.8400269,3223
11/24/92,427.5899963,645.9400024,3248.699951
11/25/92,429.1900024,648.3300171,3266.300049
11/27/92,430.1600037,649.4899902,3282.199951
11/30/92,431.3500061,652.7299805,3305.199951
12/1/92,430.7799988,653.9500122,3294.399902
12/2/92,429.8900146,652.9099731,3286.300049
12/3/92,429.9100037,656.3599854,3276.5
12/4/92,432.0599976,661.5999756,3288.699951
